Date,Temp
     JAN 2002,27
     FEB 2002,29
     MAR 2002,30
     APR 2002,31
     MAY 2002,30
     JUN 2002,30
     JUL 2002,30
     AUG 2002,29
     SEP 2002,29
     OCT 2002,29
     NOV 2002,28
     DEC 2002,29
     JAN 2003,27
     FEB 2003,29
     MAR 2003,30
     APR 2003,31
     MAY 2003,31
     JUN 2003,30
     JUL 2003,29
     AUG 2003,30
     SEP 2003,29
     OCT 2003,29
     NOV 2003,29
     DEC 2003,26
     JAN 2004,27
     FEB 2004,28
     MAR 2004,31
     APR 2004,32
     MAY 2004,31
     JUN 2004,29
     JUL 2004,30
     AUG 2004,29
     SEP 2004,29
     OCT 2004,29
     NOV 2004,29
     DEC 2004,27
     JAN 2005,27
     FEB 2005,30
     MAR 2005,30
     APR 2005,31
     MAY 2005,32
     JUN 2005,31
     JUL 2005,31
     AUG 2005,31
     SEP 2005,29
     OCT 2005,30
     NOV 2005,28
     DEC 2005,27
     JAN  2006,28
     FEB  2006,30
     MAR  2006,31
     APR  2006,31
     MAY  2006,30
     JUN  2006,31
     JUL  2006,32
     AUG  2006,30
     SEP  2006,29
     OCT  2006,29
     NOV  2006,29
     DEC  2006,27
     JAN  2007,28
     FEB  2007,29
     MAR  2007,31
     APR  2007,31
     MAY  2007,30
     JUN  2007,30
     JUL  2007,29
     AUG  2007,29
     SEP  2007,29
     OCT  2007,29
     NOV  2007,27
     DEC  2007,28
     JAN  2008,28
     FEB  2008,29
     MAR  2008,31
     APR  2008,31
     MAY  2008,30
     JUN  2008,30
     JUL  2008,29
     AUG  2008,29
     SEP  2008,29
     OCT  2008,29
     NOV  2008,27
     DEC  2008,28
     JAN  2009,24
     FEB  2009,29
     MAR  2009,30
     APR  2009,30
     MAY  2009,28
     JUN  2009,27
     JUL  2009,27
     AUG  2009,28
     SEP  2009,27
     OCT  2009,27
     NOV  2009,26
     DEC  2009,27
     JAN  2010,26
     FEB  2010,29
     MAR  2010,30
     APR  2010,31
     MAY  2010,30
     JUN  2010,29
     JUL  2010,28
     AUG  2010,28
     SEP  2010,28
     OCT  2010,27
     NOV  2010,27
     DEC  2010,26
     JAN  2011,26
     FEB  2011,28
     MAR  2011,27
     APR  2011,30
     MAY  2011,30
     JUN  2011,29
     JUL  2011,28
     AUG  2011,28
     SEP  2011,28
     OCT  2011,27
     NOV  2011,27
     DEC  2011,25
     JAN  2012,27
     FEB  2012,29
     MAR  2012,30
     APR  2012,31
     MAY  2012,30
     JUN  2012,29
     JUL  2012,28
     AUG  2012,28
     SEP  2012,28
     OCT  2012,28
     NOV  2012,28
     DEC  2012,28
     JAN  2013,27
     FEB  2013,29
     MAR  2013,30
     APR  2013,31
     MAY  2013,31
     JUN  2013,30
     JUL  2013,28
     AUG  2013,28
     SEP  2013,28
     OCT  2013,27
     NOV  2013,27
     DEC  2013,24
     JAN  2014,24
     FEB  2014,27
     MAR  2014,29
     APR  2014,31
     MAY  2014,32
     JUN  2014,30
     JUL  2014,29
     AUG  2014,28
     SEP  2014,28
     OCT  2014,28
     NOV  2014,28
     DEC  2014,26
     JAN  2015,26
     FEB  2015,28
     MAR  2015,30
     APR  2015,31
     MAY  2015,32
     JUN  2015,31
     JUL  2015,30
     AUG  2015,29
     SEP  2015,29
     OCT  2015,29
     NOV  2015,29
     DEC  2015,28
     JAN  2016,27
     FEB  2016,28
     MAR  2016,30
     APR  2016,32
     MAY  2016,32
     JUN  2016,30
     JUL  2016,29
     AUG  2016,29
     SEP  2016,29
     OCT  2016,28
     NOV  2016,28
     DEC  2016,27
     JAN  2017,27
     FEB  2017,28
     MAR  2017,30
     APR  2017,31
     MAY  2017,31
     JUN  2017,30
     JUL  2017,29
     AUG  2017,30
     SEP  2017,31
     OCT  2017,29
     NOV  2017,28
     DEC  2017,27
     JAN  2018,29
     FEB  2018,29
     MAR  2018,31
     APR  2018,31
     MAY  2018,32
     JUN  2018,31
     JUL  2018,30
     AUG  2018,29
     SEP  2018,30
     OCT  2018,33
     NOV  2018,32
     DEC  2018,32
